kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM71,Masjid Al Arqam,"Jl. Dr. Sutomo No.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1656277,106.837501,1000
JPM72,Al Amin Mosque,"Jl. Kb. Kacang 1 No.107 12, RT.12/RW.2, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1881347,106.8205793,1000
JPM73,Nurul Ilmi Mosque (National Library),"Gedung Dewan Pers, Jl. Medan Merdeka Sel. No.11 11, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1812598,106.8268508,1000
JPM74,Masjid Alia,"Jl. Prapatan IV No.33 1, RT.1/RW.5, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.1803362,106.8379528,1000
JPM75,Masjid Iqro' BRIN,"Gedung BJ Habibie, Jl. M.H. Thamrin No.8 Lantai 8, RT.2/RW.10, Kp. Bali, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.1847145,106.8226412,1000
JPM76,Masjid Al Karomah,"Jl. Hayam Wuruk VI No.6, RT.6/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",-6.165615,106.829153,1000
JPM77,Al-Hidaayah Jami' Mosque Rusun Tanah Tinggi,"Rusun Tanah Tinggi, 10540, RT.1/RW.014, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1767837,106.8495013,1000
JPM78,Nurul Hikmah Mosque,"Jl.kali Baru III No.70, RT.6/RW.10, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460",-6.172071,106.8501979,1000
JPM79,Masjid Al Badr,"Jl. Abdul Muis No.66 4, RT.4/RW.3, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.1780615,106.8186593,1000
JPM80,Masjid Nurul Huda,"Jl. Kb. Kacang 48 No.8 3, RT.3/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1932819,106.8160947,1000
JPM81,Masjid At Taqwa - Kementrian Pertahanan RI,"Jl. Tanah Abang Timur No.4-5, RT.3/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.177652,106.819782,1000
JPM82,Masjid Jami Al Ikrom,"Jl. Petojo Binatu Raya Gg.V No.5 10, RT.5/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",-6.1674803,106.8171511,1000
JPM83,Jami Al-Mabrur Mosque,"1, Jl. Kramat Pulo Gundul No.7, RT.1/RW.6, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1814082,106.8481162,1000
JPM84,MASJID Al Firdaus (LDII),"Jl. Kalibaru Timur Dalam Gg. IVA No.205, RT.10/RW.5, Bungur, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10460",-6.1731687,106.8470034,1000
JPM85,Masjid Al Muta'arof (Lt. 21) - Menara Multimedia,"Menara Multimedia, Jl. Kebon Sirih No.12, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1824115,106.8302229,1000
JPM86,Jami' Asy-Syaakiriin Mosque,"Jl. Kebon Melati 1 No.5, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1943908,106.8154922,1000
JPM87,Masjid KOSTRAD,"Jl. Medan Merdeka Tim. No.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.173882,106.8322959,1000
JPM88,Masjid Ghoiru Jami,"Jl. Kebon Sirih Barat I No.47, RT.13/RW.2, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.1852585,106.8291356,1000
JPM89,Bimantara Mosque,"Jl. Kebon Sirih Timur No.29 15, RT.15/RW.7, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.1843289,106.8307195,1000
JPM90,Masjid Al Fawaz,"Jl. Bungur Besar Raya No.3, RT.4/RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.1623266,106.8400783,1000
