kode pengungsian,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM56,"Ps. Regional Tanah Abang, Jl. Kb. Jati No.7 1, RT.1/RW.9, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.188858,106.812688,1500
JPM57,"Jalan Gg. Mess Dalam No.26, RT.16/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1969867,106.8133903,3000
JPM58,"Jl. Angkasa No.14, RT.4/RW.9, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.158101,106.8479139,1900
JPM59,"Jl. Lancar Raya No.9, RT.9/RW.7, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1666544,106.8725302,1200
JPM60,"Jl. Nilam Raya No.1, RT.14/RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1621276,106.8686068,2400
JPM61,"Jl. Sumur Batu Raya No.1, RT.1/RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.165211,106.8653568,1700
JPM62,"Jl. Serdang Raya No.Kel 2, RT.2/RW.4, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.162756,106.8609076,900
JPM63,"Masjid Akbar Kemayoran RT.13, RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.1557138,106.8541019,2900
JPM64,"Jl. Kemayoran Bar. No.29 5, RT.5/RW.7, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1638786,106.8466916,2200
JPM65,"Jl. Angkasa No.10, RT.14/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",-6.1541871,106.843654,600
JPM66,"VR2V+VCQ, RW.10, North Gunung Sahari, Sawah Besar, Central Jakarta City, Jakarta 14410",-6.1477778,106.8436111,1100
JPM67,"Jl. Rajawali Selatan Raya No.1, RT.4/RW.7, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",-6.1443173,106.843585,2700
JPM68,"Jl. Raya, Jl. Utan Panjang Bar. Kel No.7, RT.5/RW.2, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1637633,106.8524328,1900
JPM69,"Jalan: E4 No.5, RT.8/RW.9, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1641579,106.8607779,700
JPM70,"RVG5+MMC, RT.4/RW.2, Cempaka Baru, Kemayoran, Central Jakarta City, Jakarta",-6.1733129,106.8591319,1300
JPM71,"Jl. Kemayoran Gempol No.2, RT.02/RW.5, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.1631739,106.8526193,1800
JPM72,"Jl. Rusun Dakota No.3, RT.7/RW.8, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.155396,106.8570981,2900
JPM73,"Bendungan Jago Terusan No.17-23, Cempaka Baru, Kemayoran, RT.1/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1624817,106.8581613,2800
JPM74,"Jl. Serdang Baru No.3, RT.3/RW.5, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1592991,106.863795,1400
JPM75,"Masjid Al Falah, Jl. Palmerah Timur, RT.3/RW.1, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270",-6.2070404,106.7971472,700
JPM76,"Jl. Palmerah I/ Inspeksi Slipi No.21 7, RT.7/RW.4, Pejompongan, Kemanggisan, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1980679,106.7938334,1200
JPM77,"Jl. Palmerah Utara III No.80 4, RT.4/RW.6, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2039048,106.7945497,2800
JPM78,"Jl. Palmerah Sel. No.27 4, RT.4/RW.2, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",-6.2085971,106.7961747,800
JPM79,"Jl. Palmerah Barat No.9, RT.14/RW.9, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.204136,106.7874242,900
JPM80,"Jl. Palmerah Utara I No.11 11, RT.10/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2006998,106.7971123,1000
JPM81,"Jalan Palmerah Utara 7 3 6, Jl. Palmerah Utara No.7 3 6, RT.3/RW.6, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.203229,106.797577,2000
JPM82,"Kemanggisan Kincir Jl. Palmerah Barat No.28 4, RT.2/RW.8, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2071161,106.7918661,1900
JPM83,"Komplek Departemen Keuangan Moneter Jl. Kemanggisan Raya, RT.6/RW.13, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1936324,106.7845623,900
