kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM33,Masjid Jami' Al-Wustho,"JL. Pintu Air 5, Rt. 03 Rw. 02, Sawah Besar, RT.2/RW.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",-6.1633539,106.8295231,3000
JPM34,Mosque Al Barokah Kemayoran,"Jl. Kepu Dalam IV No.181, RT.14/RW.3, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1659821,106.8444958,3000
JPM35,Masjid Jami Al Furqon,"Jl. Kb. Kacang XI No.1, RT.15/RW.1, Dukuh Atas, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1879249,106.8221355,3000
JPM36,Masjid Baitul Karim,"Jl. Kebun Kacang 14 No.14-16, RT.3/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1914004,106.8193913,3000
JPM37,Mosque Nurul Hikmah,"Jl. Kebon Kacang 41 No.14 15, RT.15/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1925029,106.8184899,3000
JPM38,Al-Anwar Mosque,"Jl. Kb. Kacang 1 No.85 05, RT.1/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1880507,106.8194189,3000
JPM39,Level 8 Thamrin city mall,"thamrin city mall, Jl. Kebon Kacang Raya No.RT.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1949278,106.8168859,3000
JPM40,Masjid At-Taqwa Metro Atom,"Jl. Ps. Baru No.89-129 1, RT.1/RW.3, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1619198,106.8328919,3000
JPM41,Parkir istiqlal,"RRHJ+FXG, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",-6.1712976,106.8324544,3000
JPM42,Masjid Al Makmur,"Jl. Jati Baru Raya No.5, RT.7/RW.3, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1838552,106.8131935,3000
JPM43,Masjid Al Barkah,"Jl. Lontar Atas No.121, RT.2/RW.12, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1926406,106.8130936,3000
JPM44,Masjid Al Husna,"Jl. Al Habsyi No.10 4, RT.6/RW.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1902531,106.8145739,3000
JPM45,Masjid An Nur Sawah Besar,"Jl. Pasar Baru Selatan No.11, RT.2/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1646161,106.8360814,3000
JPM46,Masjid Al-Huda,"Jl. Kp. Bali XXXIII No.3, RT.2/RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1864188,106.8215982,3000
JPM47,Masjid Ar Rahman,"JL Petamburan, I/25 RT 10 RW 03, Tanah Abang, RT.11/RW.1, Petamburan, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10260",-6.192366,106.8083777,3000
JPM48,Al-Musyaffa Mosque,"Jl. Kb. Melati 4 No.6 6, RT.6/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1955651,106.8155914,3000
JPM49,Masjid atap tanah abang,"Ps. Tanah Abang, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1890096,106.8119312,3000
JPM50,Masjid Al Muhajirin,"Jl. K.H. Mas Mansyur No.1D 15, RT.15/RW.6, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1888683,106.8155986,3000
JPM51,Masjid Jami Soeltan Soenaro - Tanah Abang,"Jl. Jemb. Tinggi No.2, RT.16/RW.9, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.189957,106.8118228,3000
JPM52,Masjid Al-Muttahidah,"Jalan Kramat Pulo Gundul, RT 04 rw 10 no k134, Tanah Tinggi, Kec. Johar Baru",-6.1817087,106.8476854,3000
JPM53,masjid al dakwah,"Jl. Tanah Tinggi Gg. I No.8, RT.9/RW.1, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1759299,106.8460613,3000
JPM54,Masjid Al Ikhlas Walmagfiroh,"Jl. Lontar Bawah No.7 2, RT.01/RW.01, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1917136,106.8131633,3000
JPM55,Masjid An Nur,"Jl. Kepu Dalam VII No.101 4, RT.5/RW.3, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.167584,106.8453887,3000
JPM56,Masjid Al Arqom,"Ps. Regional Tanah Abang, Jl. Kb. Jati No.7 1, RT.1/RW.9, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.188858,106.812688,3000
JPM57,Masjid Al Ikhwan Gg Mess,"Jalan Gg. Mess Dalam No.26, RT.16/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1969867,106.8133903,3000
JPM58,Jami Mosque of Al Amir Kemayoran,"Jl. Angkasa No.14, RT.4/RW.9, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.158101,106.8479139,3000
JPM59,Al-Makmur Mosque,"Jl. Kepu Dalam II No.02 2, RT.6/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1642666,106.8427961,3000
JPM60,Al Ikhlash Mosque,"Jl. Lancar Raya No.9, RT.9/RW.7, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1666544,106.8725302,3000
JPM61,Masjid Raya Al-Mustaqiem,"Jl. Nilam Raya No.1, RT.14/RW.2, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1621276,106.8686068,3000
JPM62,Masjid Jami Al Ikhwan,"Jl. Sumur Batu Raya No.1, RT.1/RW.8, Sumur Batu, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.165211,106.8653568,3000
JPM63,Al Madjid Mosque,"Jl. Serdang Raya No.Kel 2, RT.2/RW.4, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.162756,106.8609076,3000
JPM64,Masjid Akbar Kemayoran,"Masjid Akbar Kemayoran RT.13, RW.6, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.1557138,106.8541019,3000
JPM65,Masjid Jami Addhiya Guru Sya'ban,"Jl. Kemayoran Bar. No.29 5, RT.5/RW.7, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1638786,106.8466916,3000
JPM66,Masjid Dirgantara Al-Hidayah,"Jl. Angkasa No.10, RT.14/RW.10, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",-6.1541871,106.843654,3000
JPM67,Mosque Al Barokah Kemayoran,"Jl. Kepu Dalam IV No.181, RT.14/RW.3, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1659821,106.8444958,3000
JPM68,Masjid Al Fawaz,"Jl. Bungur Besar Raya No.3, RT.4/RW.1, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10610",-6.1623266,106.8400783,3000
JPM69,At-Taqwa Mosque,"VR2V+VCQ, RW.10, North Gunung Sahari, Sawah Besar, Central Jakarta City, Jakarta 14410",-6.1477778,106.8436111,3000
JPM70,Masjid Al Ihsan Bandar Kemayoran,"Jl. Rajawali Selatan Raya No.1, RT.4/RW.7, Gn. Sahari Utara, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",-6.1443173,106.843585,3000
JPM71,Al-Huda Mosque,"Jl. Raya, Jl. Utan Panjang Bar. Kel No.7, RT.5/RW.2, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1637633,106.8524328,3000
JPM72,Masjid Al-Barkah,"Jalan: E4 No.5, RT.8/RW.9, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10640",-6.1641579,106.8607779,3000
JPM73,Riyaadlul Nur Jannah Mosque,"RVG5+MMC, RT.4/RW.2, Cempaka Baru, Kemayoran, Central Jakarta City, Jakarta",-6.1733129,106.8591319,3000
JPM74,Masjid Al Ihsan,"Jl. Kemayoran Gempol No.2, RT.02/RW.5, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.1631739,106.8526193,3000
JPM75,Masjid At-Taubah,"Jl. Rusun Dakota No.3, RT.7/RW.8, Kb. Kosong, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630",-6.155396,106.8570981,3000
JPM76,Masjid Jami' Haji Sapri,"Bendungan Jago Terusan No.17-23, Cempaka Baru, Kemayoran, RT.1/RW.10, Cemp. Baru, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1624817,106.8581613,3000
JPM77,Masjid Jamiul Huda,"Jl. Serdang Baru No.3, RT.3/RW.5, Serdang, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10650",-6.1592991,106.863795,3000
